Country,Tightness,Individualism,Powerdistance,Median_Age,Government.efficiency,Underreporting,Authoritarian,RelatiolMobility,ColdStress,HeatStress,RainStress,Mortality,BCGstatus,population,Gini,percentMigrants,hospital_beds_per_thousand,GDP.capita,Population.density,Oct16_total_cases,Oct16_total_deaths,Oct16_total_cases_per_million,Oct16_total_deaths_per_million,Oct16_total_tests,Oct16_total_tests_per_thousand,Testing_date,StringencyIndex,day_diff
Algeria,0.694447099,,,28.1,3.274635201,22,1,,0.084,0.094,0.85,4.716,Currently mandated,43851,27.6,0.6,190,3948.343,17.73,53777,1836,1226.356,41.869,,,,70.4439485,26
Argenti,-0.531806346,46,49,31.7,2.336128838,49,0,,0.508,-0.038,-1.714,7.609,Currently mandated,45196,41.4,4.9,500,10006.149,16.259,949050,25342,20998.643,560.716,1980385,43.818,10/11/20,86.26584071,15
Armenia,0.205163972,,,35.1,3.401135002,26,0,,1.546,-0.433,0.096,9.857,Currently mandated,2963,34.4,6.4,420,4622.733,103.68,59995,1046,20246.46,352.993,,,,,
Australia,-0.053445728,90,38,38.7,4.25568066,68,0,0.138,0.931,-0.038,-2.804,6.3,Mandated in the past,25500,34.4,30,384,54907.102,3.248,27362,904,1073.025,35.451,8153116,319.732,10/15/20,58.7170566,68
Austria,0.210177967,55,11,44,4.312938023,3,0,,1.392,-0.697,-1.467,9.5,Mandated in the past,9006,29.7,19.9,737,50277.275,107.128,60764,894,6746.758,99.263,1881485,208.905,10/15/20,48.79051502,19
Bosnia and Herzegovi,-0.431134579,,,42.1,2.53633299,52,,,1.161,-0.302,-1.043,10.712,Currently mandated,3281,33,1.1,350,6073.265,64.92,32224,972,9821.95,296.268,,,,61.62272321,14
Botswa,0.86045016,,,24.5,4.09,,0,,0.277,1.016,0.85,5.742,Currently mandated,2352,53.3,4.8,180,7961.338,3.977,5242,20,2229.097,8.505,,,,64.31247475,1
Brazil,-0.376231695,38,69,32.6,2.496853694,35,0,0.203,-0.57,0.752,-0.644,6.452,Currently mandated,212559,53.9,0.4,220,8717.186,25.062,5169386,152460,24319.723,717.258,6421441,30.21,9/19/20,72.96782276,24
Cada,-0.135152584,80,39,42.2,4.702926362,12,0,0.175,2.2,-0.565,-2.29,7.7,Never mandated,37742,33.8,21.3,250,46194.725,4.075,191732,9699,5080.049,256.981,8403144,222.646,10/16/20,55.62818182,
Chi,0.186152449,20,80,37.4,4.006861266,5,7,,1.161,-0.038,0.788,7.1,Currently mandated,1439324,38.5,0.1,434,10261.679,148.349,90905,4739,63.158,3.293,160000000,111.163,8/6/20,68.26429066,32
Chile,-0.339407811,23,63,34.4,4.148466375,40,0,0.109,0.431,-0.17,0.671,6.163,Currently mandated,19116,44.4,5,211,14896.454,25.189,486496,13434,25449.397,702.754,3782095,197.848,10/15/20,75.09915929,21
Colombia,-0.583601985,13,67,30,3.039393647,54,0,0.199,0.084,-2.541,-0.741,5.562,Currently mandated,50883,50.4,2.3,171,6432.388,44.749,936982,28457,18414.483,559.265,3661140,71.952,10/12/20,79.92242152,18
Czech Republic,-0.462699395,58,57,42.1,3.681881098,2,0,,1.7,-0.697,-0.471,10.6,Currently mandated,10709,24.9,4.8,663,23101.778,137.658,149010,1230,13914.488,114.857,1693114,158.102,10/14/20,47.23302632,13
Ecuador,-0.177708163,8,78,27.7,2.879376765,52,1,,0.354,-1.224,0.279,5.109,Mandated in the past,17643,45.4,2.2,150,6183.824,68.789,150360,12306,8522.331,697.498,407895,23.119,10/14/20,74.38336245,16
Estonia,-0.469581699,60,40,42.7,4.401768271,15,0,-0.024,2.162,-1.355,-1.611,11.9,Currently mandated,1327,30.4,14.4,469,23659.872,30.411,3980,68,3000.289,51.261,240117,181.01,10/15/20,39.24761905,30
Finland,-0.283406106,63,33,42.5,5.320377733,12,0,,2.162,-1.355,-1.611,9.9,Currently mandated,5541,27.4,6.9,328,48685.854,18.149,12994,350,2345.183,63.169,1263857,228.103,10/13/20,39.58969231,
Germany,0.12889995,67,35,47.1,4.728817911,0,0,-0.011,1.431,-0.697,-1.645,11.5,Mandated in the past,83784,31.9,15.7,800,46258.878,237.308,348557,9734,4160.188,116.18,19276507,230.074,10/11/20,52.42389313,53
Gha,1.242676502,15,80,21.1,3.773055774,1,0,,-0.877,0.621,0.429,7.309,Currently mandated,31073,43.5,1.5,90,2202.116,130.821,47173,310,1518.137,9.977,502666,16.177,10/10/20,55.50013825,17
Greece,-0.278680907,35,60,44.5,2.762990227,13,0,,0.161,-0.038,0.428,11.2,Currently mandated,10423,34.4,11.6,421,19582.536,83.265,23947,482,2297.503,46.244,1489213,142.877,10/15/20,58.9425,25
Hungary,-0.603726491,80,46,42.3,2.902592433,54,0,-0.387,1.392,-0.565,-1.437,13.4,Currently mandated,9660,30.6,5.3,702,16475.742,107.981,43025,1085,4453.772,112.315,871417,90.206,10/16/20,56.94186667,22
